provider,model,prompt_id,iteration_index,pass_at_iteration,error_count,error_families_json,iteration_time_sec,tokens_in,tokens_out,tokens_total,return_code,warning_count,warning_families_json,run_id,session_id,source_path
anthropic,claude-sonnet-4-6,1,1,True,0,{},6.536778374997084,369,534,903,0,18,"{""namespace-distinguishability"": 18}",20260220-091315,20260220-091315,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/1/1_refine_manifest.json
anthropic,claude-sonnet-4-6,2,1,True,0,{},4.084359290995053,394,232,626,0,4,"{""namespace-distinguishability"": 4}",20260220-091315,20260220-091315,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/2/2_refine_manifest.json
anthropic,claude-sonnet-4-6,3,1,True,0,{},8.921111250005197,392,727,1119,0,25,"{""namespace-distinguishability"": 25}",20260220-091315,20260220-091315,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/3/3_refine_manifest.json
anthropic,claude-sonnet-4-6,4,1,True,0,{},4.078976624994539,405,276,681,0,2,"{""namespace-distinguishability"": 2}",20260220-091315,20260220-091315,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/4/4_refine_manifest.json
anthropic,claude-sonnet-4-6,5,1,True,0,{},4.001054332999047,349,101,450,0,0,{},20260220-091320,20260220-091320,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/5/5_refine_manifest.json
anthropic,claude-sonnet-4-6,6,1,True,0,{},6.951713792004739,466,698,1164,0,19,"{""namespace-distinguishability"": 19}",20260220-091320,20260220-091320,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/6/6_refine_manifest.json
anthropic,claude-sonnet-4-6,7,1,True,0,{},4.936024624999845,377,258,635,0,0,{},20260220-091322,20260220-091322,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/7/7_refine_manifest.json
anthropic,claude-sonnet-4-6,8,1,True,0,{},6.186787583006662,366,467,833,0,17,"{""namespace-distinguishability"": 17}",20260220-091325,20260220-091325,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/8/8_refine_manifest.json
anthropic,claude-sonnet-4-6,9,1,True,0,{},8.17774100000679,421,712,1133,0,6,"{""namespace-distinguishability"": 6}",20260220-091325,20260220-091325,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/9/9_refine_manifest.json
anthropic,claude-sonnet-4-6,10,1,True,0,{},7.166412542006583,387,568,955,0,5,"{""namespace-distinguishability"": 5}",20260220-091328,20260220-091328,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/10/10_refine_manifest.json
anthropic,claude-sonnet-4-6,11,1,True,0,{},11.00882062499295,401,996,1397,0,17,"{""namespace-distinguishability"": 17}",20260220-091328,20260220-091328,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/11/11_refine_manifest.json
anthropic,claude-sonnet-4-6,12,1,True,0,{},4.724686750007095,413,367,780,0,0,{},20260220-091332,20260220-091332,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/12/12_refine_manifest.json
anthropic,claude-sonnet-4-6,13,1,True,0,{},10.191656334005529,409,908,1317,0,0,{},20260220-091334,20260220-091334,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/13/13_refine_manifest.json
anthropic,claude-sonnet-4-6,14,1,True,0,{},9.143416000006255,416,720,1136,0,0,{},20260220-091336,20260220-091336,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/14/14_refine_manifest.json
anthropic,claude-sonnet-4-6,15,1,True,0,{},7.469588708001538,403,564,967,0,0,{},20260220-091338,20260220-091338,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/15/15_refine_manifest.json
anthropic,claude-sonnet-4-6,16,1,True,0,{},6.949109334003879,438,536,974,0,5,"{""namespace-distinguishability"": 5}",20260220-091340,20260220-091340,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/16/16_refine_manifest.json
anthropic,claude-sonnet-4-6,17,1,True,0,{},6.899139167013345,388,487,875,0,12,"{""namespace-distinguishability"": 12}",20260220-091345,20260220-091345,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/17/17_refine_manifest.json
anthropic,claude-sonnet-4-6,18,1,True,0,{},6.5485576250066515,369,445,814,0,0,{},20260220-091346,20260220-091346,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/18/18_refine_manifest.json
anthropic,claude-sonnet-4-6,19,1,True,0,{},5.105360957997618,402,383,785,0,0,{},20260220-091347,20260220-091347,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/19/19_refine_manifest.json
anthropic,claude-sonnet-4-6,20,1,True,0,{},6.232124458998442,368,397,765,0,0,{},20260220-091349,20260220-091349,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/20/20_refine_manifest.json
anthropic,claude-sonnet-4-6,21,1,True,0,{},6.718733333007549,356,468,824,0,0,{},20260220-091353,20260220-091353,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/21/21_refine_manifest.json
anthropic,claude-sonnet-4-6,22,1,True,0,{},4.187535792007111,394,253,647,0,0,{},20260220-091353,20260220-091353,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/22/22_refine_manifest.json
anthropic,claude-sonnet-4-6,23,1,True,0,{},7.05922641599318,363,512,875,0,0,{},20260220-091354,20260220-091354,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/23/23_refine_manifest.json
anthropic,claude-sonnet-4-6,24,1,True,0,{},7.841575999991619,384,553,937,0,0,{},20260220-091356,20260220-091356,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/24/24_refine_manifest.json
anthropic,claude-sonnet-4-6,25,1,True,0,{},6.2737465420068474,407,440,847,0,0,{},20260220-091358,20260220-091358,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/25/25_refine_manifest.json
anthropic,claude-sonnet-4-6,26,1,True,0,{},15.545036541996524,417,1298,1715,0,0,{},20260220-091400,20260220-091400,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/26/26_refine_manifest.json
anthropic,claude-sonnet-4-6,27,1,True,0,{},7.078686291992199,380,517,897,0,0,{},20260220-091402,20260220-091402,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/27/27_refine_manifest.json
anthropic,claude-sonnet-4-6,28,1,True,0,{},7.183601165990694,374,555,929,0,0,{},20260220-091404,20260220-091404,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/28/28_refine_manifest.json
anthropic,claude-sonnet-4-6,29,1,True,0,{},10.658220084005734,396,830,1226,0,0,{},20260220-091405,20260220-091405,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/29/29_refine_manifest.json
anthropic,claude-sonnet-4-6,30,1,True,0,{},10.243755000003148,394,849,1243,0,0,{},20260220-091410,20260220-091410,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/30/30_refine_manifest.json
anthropic,claude-sonnet-4-6,31,1,True,0,{},13.077745040995069,387,982,1369,0,25,"{""namespace-distinguishability"": 25}",20260220-091422,20260220-091422,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/31/31_refine_manifest.json
anthropic,claude-sonnet-4-6,32,1,True,0,{},8.810010582994437,387,498,885,0,0,{},20260220-091422,20260220-091422,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/32/32_refine_manifest.json
anthropic,claude-sonnet-4-6,33,1,True,0,{},7.518046291996143,383,332,715,0,0,{},20260220-091422,20260220-091422,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/33/33_refine_manifest.json
anthropic,claude-sonnet-4-6,34,1,True,0,{},17.22140149999177,363,1568,1931,0,68,"{""namespace-distinguishability"": 68}",20260220-091422,20260220-091422,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/34/34_refine_manifest.json
anthropic,claude-sonnet-4-6,35,1,False,1,"{""parsing-error"": 1}",6.661436958995182,395,511,906,1,0,{},20260220-091430,20260220-091430,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/35/35_refine_manifest.json
anthropic,claude-sonnet-4-6,35,2,True,0,{},27.19642754099914,1095,515,1610,0,0,{},20260220-091430,20260220-091430,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/35/35_refine_manifest.json
anthropic,claude-sonnet-4-6,36,1,True,0,{},9.454837041994324,431,749,1180,0,0,{},20260220-091431,20260220-091431,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/36/36_refine_manifest.json
anthropic,claude-sonnet-4-6,37,1,True,0,{},37.67788241599919,424,1158,1582,0,4,"{""namespace-distinguishability"": 4}",20260220-091435,20260220-091435,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/37/37_refine_manifest.json
anthropic,claude-sonnet-4-6,38,1,True,0,{},24.979004042004817,395,350,745,0,0,{},20260220-091440,20260220-091440,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/38/38_refine_manifest.json
