provider,model_label,prompt_id,family,start_iteration,end_iteration_with_family,iterations_with_family,additional_iterations_to_repair,unique_exact_signatures,unique_template_signatures,has_exact_recurrence,has_template_recurrence,adjacent_exact_overlap,adjacent_template_overlap,start_end_exact_overlap,start_end_template_overlap,persistence_mode
anthropic,Anthropic Claude Sonnet 4.6,35,parsing-error,1,1,1,1,1,1,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,48,parsing-error,1,1,1,1,2,1,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,48,connector-related-features,1,1,1,1,1,1,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,48,reference-error,1,1,1,1,1,1,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,52,parsing-error,1,1,1,1,1,1,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,63,feature-value-overriding,1,1,1,1,1,1,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,68,parsing-error,1,1,1,1,1,1,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,74,parsing-error,1,2,2,2,1,1,True,True,True,True,True,True,same_exact_error_recurs
anthropic,Anthropic Claude Sonnet 4.6,77,parsing-error,1,1,1,1,1,1,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,91,parsing-error,1,1,1,1,1,1,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,94,parsing-error,1,1,1,1,1,1,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,95,parsing-error,1,1,1,1,1,1,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,96,parsing-error,1,1,1,1,1,1,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,100,feature-value-overriding,1,1,1,1,1,1,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,102,parsing-error,1,1,1,1,1,1,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,104,parsing-error,1,1,1,1,1,1,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,107,parsing-error,1,1,1,1,2,1,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,109,parsing-error,1,1,1,1,1,1,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,114,parsing-error,1,1,1,1,1,1,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,116,parsing-error,1,1,1,1,1,1,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,120,parsing-error,1,2,2,2,2,1,True,True,True,True,True,True,same_exact_error_recurs
anthropic,Anthropic Claude Sonnet 4.6,121,parsing-error,1,1,1,1,2,2,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,121,parsing-error,3,6,4,4,4,3,True,True,True,True,True,True,same_exact_error_recurs
anthropic,Anthropic Claude Sonnet 4.6,121,reference-error,1,1,1,1,27,2,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,121,reference-error,5,5,1,1,23,2,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,121,internal-error,2,3,2,2,1,1,True,True,True,True,True,True,same_exact_error_recurs
anthropic,Anthropic Claude Sonnet 4.6,134,parsing-error,1,1,1,1,1,1,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,137,feature-value-overriding,1,1,1,1,1,1,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,141,parsing-error,1,1,1,1,1,1,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,146,type-error,1,1,1,1,10,10,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,146,reference-error,1,1,1,1,1,1,False,False,False,False,True,True,family_only_churn
anthropic,Anthropic Claude Sonnet 4.6,147,parsing-error,1,1,1,1,3,1,False,False,False,False,True,True,family_only_churn
deepseek_reasoner,DeepSeek Reasoner,1,parsing-error,1,1,1,1,3,2,False,False,False,False,True,True,family_only_churn
deepseek_reasoner,DeepSeek Reasoner,1,reference-error,1,1,1,1,1,1,False,False,False,False,True,True,family_only_churn
deepseek_reasoner,DeepSeek Reasoner,5,parsing-error,1,2,2,2,3,2,False,True,False,True,False,True,same_error_template_recurs
