provider,model,model_label,prompt_id,iteration_index,family,signature_exact,signature_template,message_exact,message_template
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,35,1,parsing-error,"parsing-error::Unexpected 'state', expected one of [""SINGLE_LINE_NOTE"", ""NAME"", ""["", ""ordered"", ""nonunique"", ""<"", ""::>"", ""references"", ""=>"", ""crosses"", "":>>"", ""redefines"", "":"", ""defined"", "";"", ""{"", ""="", "":="", ""default"", ""def"", ""MULTILINE_NOTE"", "":>"", ""subsets"", ""MultiplicityRange"", ""OwningMembership"", ""FeatureValue""].","parsing-error::Unexpected <q>, expected one of [...].","Unexpected 'state', expected one of [""SINGLE_LINE_NOTE"", ""NAME"", ""["", ""ordered"", ""nonunique"", ""<"", ""::>"", ""references"", ""=>"", ""crosses"", "":>>"", ""redefines"", "":"", ""defined"", "";"", ""{"", ""="", "":="", ""default"", ""def"", ""MULTILINE_NOTE"", "":>"", ""subsets"", ""MultiplicityRange"", ""OwningMembership"", ""FeatureValue""].","Unexpected <q>, expected one of [...]."
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,48,1,parsing-error,"parsing-error::Unexpected 'part', expected one of [""NAME"", ""}"", ""dependency"", ""locale"", ""comment"", ""doc"", ""rep"", ""language"", ""private"", ""protected"", ""public"", ""alias"", ""import"", ""["", ""abstract"", ""in"", ""inout"", ""out"", ""derived"", ""end"", ""ordered"", ""nonunique"", ""<"", ""not"", ""@"", ""#"", ""metadata"", ""SINGLE_LINE_NOTE"", ""MULTILINE_NOTE"", ""REGULAR_COMMENT"", "":>"", ""subsets"", ""::>"", ""references"", ""=>"", ""crosses"", "":>>"", ""redefines"", "":"", ""defined"", ""standard"", ""library"", ""package"", ""variation"", ""variant"", ""constant"", ""ref"", ""attribute"", ""enum"", ""occurrence"", ""individual"", ""timeslice"", ""snapshot"", ""event"", ""then"", ""item"", ""part"", ""port"", ""connection"", ""connect"", ""binding"", ""bind"", ""succession"", ""first"", ""flow"", ""message"", ""interface"", ""allocation"", ""allocate"", ""action"", ""perform"", ""state"", ""exhibit"", ""calc"", ""constraint"", ""assert"", ""requirement"", ""concern"", ""satisfy"", ""case"", ""analysis"", ""verification"", ""use"", ""include"", ""view"", ""rendering"", ""viewpoint"", ""Dependency"", ""Comment"", ""Documentation"", ""TextualRepresentation"", ""VisibilityKind"", ""Membership"", ""MembershipImport"", ""NamespaceImport"", ""FeatureDirectionKind"", ""OwningMembership"", ""MultiplicityRange"", ""Annotation"", ""OwningMembership"", ""Package"", ""LibraryPackage"", ""OwningMembership"", ""VariantMembership"", ""FeatureMembership"", ""FeatureMembership"", ""ReferenceUsage"", ""ReferenceUsage"", ""AttributeDefinition"", ""AttributeUsage"", ""EnumerationDefinition"", ""EnumerationUsage"", ""OccurrenceDefinition"", ""OccurrenceDefinition"", ""OccurrenceUsage"", ""OccurrenceUsage"", ""OccurrenceUsage"", ""PortionKind"", ""EventOccurrenceUsage"", ""FeatureMembership"", ""SuccessionAsUsage"", ""ItemDefinition"", ""ItemUsage"", ""PartDefinition"", ""PartUsage"", ""PortDefinition"", ""PortUsage"", ""ConnectionDefinition"", ""ConnectionUsage"", ""BindingConnectorAsUsage"", ""SuccessionAsUsage"", ""FlowDefinition"", ""FlowUsage"", ""FlowUsage"", ""SuccessionFlowUsage"", ""InterfaceDefinition"", ""InterfaceUsage"", ""AllocationDefinition"", ""AllocationUsage"", ""ActionDefinition"", ""ActionUsage"", ""PerformActionUsage"", ""StateDefinition"", ""StateUsage"", ""ExhibitStateUsage"", ""CalculationDefinition"", ""CalculationUsage"", ""ConstraintDefinition"", ""ConstraintUsage"", ""AssertConstraintUsage"", ""RequirementDefinition"", ""RequirementUsage"", ""SatisfyRequirementUsage"", ""ConcernDefinition"", ""ConcernUsage"", ""CaseDefinition"", ""CaseUsage"", ""AnalysisCaseDefinition"", ""AnalysisCaseUsage"", ""VerificationCaseDefinition"", ""VerificationCaseUsage"", ""UseCaseDefinition"", ""UseCaseUsage"", ""IncludeUseCaseUsage"", ""ViewDefinition"", ""ViewUsage"", ""ViewpointDefinition"", ""ViewpointUsage"", ""RenderingDefinition"", ""RenderingUsage"", ""MetadataDefinition"", ""MetadataUsage"", ""MetadataUsage"", ""Definition"", ""Usage"", ""Dependency_repeat1""].","parsing-error::Unexpected <q>, expected one of [...].","Unexpected 'part', expected one of [""NAME"", ""}"", ""dependency"", ""locale"", ""comment"", ""doc"", ""rep"", ""language"", ""private"", ""protected"", ""public"", ""alias"", ""import"", ""["", ""abstract"", ""in"", ""inout"", ""out"", ""derived"", ""end"", ""ordered"", ""nonunique"", ""<"", ""not"", ""@"", ""#"", ""metadata"", ""SINGLE_LINE_NOTE"", ""MULTILINE_NOTE"", ""REGULAR_COMMENT"", "":>"", ""subsets"", ""::>"", ""references"", ""=>"", ""crosses"", "":>>"", ""redefines"", "":"", ""defined"", ""standard"", ""library"", ""package"", ""variation"", ""variant"", ""constant"", ""ref"", ""attribute"", ""enum"", ""occurrence"", ""individual"", ""timeslice"", ""snapshot"", ""event"", ""then"", ""item"", ""part"", ""port"", ""connection"", ""connect"", ""binding"", ""bind"", ""succession"", ""first"", ""flow"", ""message"", ""interface"", ""allocation"", ""allocate"", ""action"", ""perform"", ""state"", ""exhibit"", ""calc"", ""constraint"", ""assert"", ""requirement"", ""concern"", ""satisfy"", ""case"", ""analysis"", ""verification"", ""use"", ""include"", ""view"", ""rendering"", ""viewpoint"", ""Dependency"", ""Comment"", ""Documentation"", ""TextualRepresentation"", ""VisibilityKind"", ""Membership"", ""MembershipImport"", ""NamespaceImport"", ""FeatureDirectionKind"", ""OwningMembership"", ""MultiplicityRange"", ""Annotation"", ""OwningMembership"", ""Package"", ""LibraryPackage"", ""OwningMembership"", ""VariantMembership"", ""FeatureMembership"", ""FeatureMembership"", ""ReferenceUsage"", ""ReferenceUsage"", ""AttributeDefinition"", ""AttributeUsage"", ""EnumerationDefinition"", ""EnumerationUsage"", ""OccurrenceDefinition"", ""OccurrenceDefinition"", ""OccurrenceUsage"", ""OccurrenceUsage"", ""OccurrenceUsage"", ""PortionKind"", ""EventOccurrenceUsage"", ""FeatureMembership"", ""SuccessionAsUsage"", ""ItemDefinition"", ""ItemUsage"", ""PartDefinition"", ""PartUsage"", ""PortDefinition"", ""PortUsage"", ""ConnectionDefinition"", ""ConnectionUsage"", ""BindingConnectorAsUsage"", ""SuccessionAsUsage"", ""FlowDefinition"", ""FlowUsage"", ""FlowUsage"", ""SuccessionFlowUsage"", ""InterfaceDefinition"", ""InterfaceUsage"", ""AllocationDefinition"", ""AllocationUsage"", ""ActionDefinition"", ""ActionUsage"", ""PerformActionUsage"", ""StateDefinition"", ""StateUsage"", ""ExhibitStateUsage"", ""CalculationDefinition"", ""CalculationUsage"", ""ConstraintDefinition"", ""ConstraintUsage"", ""AssertConstraintUsage"", ""RequirementDefinition"", ""RequirementUsage"", ""SatisfyRequirementUsage"", ""ConcernDefinition"", ""ConcernUsage"", ""CaseDefinition"", ""CaseUsage"", ""AnalysisCaseDefinition"", ""AnalysisCaseUsage"", ""VerificationCaseDefinition"", ""VerificationCaseUsage"", ""UseCaseDefinition"", ""UseCaseUsage"", ""IncludeUseCaseUsage"", ""ViewDefinition"", ""ViewUsage"", ""ViewpointDefinition"", ""ViewpointUsage"", ""RenderingDefinition"", ""RenderingUsage"", ""MetadataDefinition"", ""MetadataUsage"", ""MetadataUsage"", ""Definition"", ""Usage"", ""Dependency_repeat1""].","Unexpected <q>, expected one of [...]."
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,48,1,parsing-error,"parsing-error::Unexpected 'interface', expected one of [""SINGLE_LINE_NOTE"", ""["", ""$"", ""NAME"", ""("", ""ElementReference"", ""MULTILINE_NOTE"", ""MultiplicityRange"", ""OwningMembership"", ""ReferenceSubsetting"", ""Feature"", ""Feature"", ""OwningMembership"", ""FeatureChaining"", ""EndFeatureMembership"", ""Feature""].","parsing-error::Unexpected <q>, expected one of [...].","Unexpected 'interface', expected one of [""SINGLE_LINE_NOTE"", ""["", ""$"", ""NAME"", ""("", ""ElementReference"", ""MULTILINE_NOTE"", ""MultiplicityRange"", ""OwningMembership"", ""ReferenceSubsetting"", ""Feature"", ""Feature"", ""OwningMembership"", ""FeatureChaining"", ""EndFeatureMembership"", ""Feature""].","Unexpected <q>, expected one of [...]."
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,48,1,connector-related-features,connector-related-features::A concrete connector must have at least two related elements,connector-related-features::A concrete connector must have at least two related elements,A concrete connector must have at least two related elements,A concrete connector must have at least two related elements
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,48,1,reference-error,reference-error::No Feature named 'driverOut' found.,reference-error::No Feature named <q> found.,No Feature named 'driverOut' found.,No Feature named <q> found.
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,52,1,parsing-error,"parsing-error::Unexpected 'part', expected one of [""end"", ""NAME"", "";"", ""{"", ""}"", ""dependency"", ""locale"", ""comment"", ""doc"", ""rep"", ""language"", ""private"", ""protected"", ""public"", ""alias"", ""for"", ""import"", ""all"", ""*"", ""["", ""abstract"", ""in"", ""inout"", ""out"", ""derived"", ""end"", ""ordered"", ""nonunique"", ""if"", ""else"", ""+"", ""-"", ""<"", ""~"", ""not"", ""hastype"", ""istype"", ""@"", ""as"", ""#"", ""("", ""null"", ""metadata"", ""new"", ""true"", ""false"", ""SINGLE_LINE_NOTE"", ""MULTILINE_NOTE"", ""REGULAR_COMMENT"", ""DECIMAL_VALUE"", ""REAL_VALUE"", ""STRING_VALUE"", "":>"", ""subsets"", ""::>"", ""references"", ""=>"", ""crosses"", "":>>"", ""redefines"", ""$"", "":"", ""defined"", ""standard"", ""library"", ""package"", ""filter"", ""variation"", ""variant"", ""constant"", ""ref"", ""attribute"", ""enum"", ""occurrence"", ""individual"", ""timeslice"", ""snapshot"", ""event"", ""then"", ""item"", ""part"", ""port"", ""connection"", ""connect"", ""binding"", ""bind"", ""succession"", ""first"", ""flow"", ""message"", ""interface"", ""allocation"", ""allocate"", ""action"", ""perform"", ""merge"", ""decide"", ""join"", ""fork"", ""accept"", ""send"", ""assign"", ""terminate"", ""while"", ""loop"", ""state"", ""entry"", ""do"", ""exit"", ""exhibit"", ""transition"", ""calc"", ""return"", ""constraint"", ""assert"", ""requirement"", ""subject"", ""assume"", ""require"", ""frame"", ""concern"", ""actor"", ""stakeholder"", ""satisfy"", ""case"", ""objective"", ""analysis"", ""verification"", ""verify"", ""use"", ""include"", ""view"", ""render"", ""rendering"", ""expose"", ""viewpoint""].","parsing-error::Unexpected <q>, expected one of [...].","Unexpected 'part', expected one of [""end"", ""NAME"", "";"", ""{"", ""}"", ""dependency"", ""locale"", ""comment"", ""doc"", ""rep"", ""language"", ""private"", ""protected"", ""public"", ""alias"", ""for"", ""import"", ""all"", ""*"", ""["", ""abstract"", ""in"", ""inout"", ""out"", ""derived"", ""end"", ""ordered"", ""nonunique"", ""if"", ""else"", ""+"", ""-"", ""<"", ""~"", ""not"", ""hastype"", ""istype"", ""@"", ""as"", ""#"", ""("", ""null"", ""metadata"", ""new"", ""true"", ""false"", ""SINGLE_LINE_NOTE"", ""MULTILINE_NOTE"", ""REGULAR_COMMENT"", ""DECIMAL_VALUE"", ""REAL_VALUE"", ""STRING_VALUE"", "":>"", ""subsets"", ""::>"", ""references"", ""=>"", ""crosses"", "":>>"", ""redefines"", ""$"", "":"", ""defined"", ""standard"", ""library"", ""package"", ""filter"", ""variation"", ""variant"", ""constant"", ""ref"", ""attribute"", ""enum"", ""occurrence"", ""individual"", ""timeslice"", ""snapshot"", ""event"", ""then"", ""item"", ""part"", ""port"", ""connection"", ""connect"", ""binding"", ""bind"", ""succession"", ""first"", ""flow"", ""message"", ""interface"", ""allocation"", ""allocate"", ""action"", ""perform"", ""merge"", ""decide"", ""join"", ""fork"", ""accept"", ""send"", ""assign"", ""terminate"", ""while"", ""loop"", ""state"", ""entry"", ""do"", ""exit"", ""exhibit"", ""transition"", ""calc"", ""return"", ""constraint"", ""assert"", ""requirement"", ""subject"", ""assume"", ""require"", ""frame"", ""concern"", ""actor"", ""stakeholder"", ""satisfy"", ""case"", ""objective"", ""analysis"", ""verification"", ""verify"", ""use"", ""include"", ""view"", ""render"", ""rendering"", ""expose"", ""viewpoint""].","Unexpected <q>, expected one of [...]."
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,63,1,feature-value-overriding,feature-value-overriding::Cannot override a binding feature value,feature-value-overriding::Cannot override a binding feature value,Cannot override a binding feature value,Cannot override a binding feature value
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,63,1,feature-value-overriding,feature-value-overriding::Cannot override a binding feature value,feature-value-overriding::Cannot override a binding feature value,Cannot override a binding feature value,Cannot override a binding feature value
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,63,1,feature-value-overriding,feature-value-overriding::Cannot override a binding feature value,feature-value-overriding::Cannot override a binding feature value,Cannot override a binding feature value,Cannot override a binding feature value
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,63,1,feature-value-overriding,feature-value-overriding::Cannot override a binding feature value,feature-value-overriding::Cannot override a binding feature value,Cannot override a binding feature value,Cannot override a binding feature value
