provider,model,model_label,prompt_id,family,start_iteration,repair_iteration,iterations_to_repair,persisted_iterations,elapsed_sec_to_repair,resolved
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,35,parsing-error,1,2,1,1,33.85786449999432,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,48,connector-related-features,1,2,1,1,31.642207458993653,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,48,parsing-error,1,2,1,1,31.642207458993653,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,48,reference-error,1,2,1,1,31.642207458993653,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,52,parsing-error,1,2,1,1,37.8736138749955,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,63,feature-value-overriding,1,2,1,1,11.299102625009255,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,68,parsing-error,1,2,1,1,55.855724249995546,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,74,parsing-error,1,3,2,2,141.94797391702014,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,77,parsing-error,1,2,1,1,71.122926208016,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,91,parsing-error,1,2,1,1,69.00916370900813,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,94,parsing-error,1,2,1,1,14.78673633399012,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,95,parsing-error,1,2,1,1,80.77220145901083,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,96,parsing-error,1,2,1,1,43.000561126013054,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,100,feature-value-overriding,1,2,1,1,25.4301482509909,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,102,parsing-error,1,2,1,1,58.561792332999175,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,104,parsing-error,1,2,1,1,33.61947454098845,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,107,parsing-error,1,2,1,1,51.600173167011235,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,109,parsing-error,1,2,1,1,32.840173957985826,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,114,parsing-error,1,2,1,1,76.23389783300809,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,116,parsing-error,1,2,1,1,99.56337279098807,True
